station	weekday	hour	criticality	latitude	longitude
1	Thu	0	0.4581005586592179	41.397978	2.180019
1	Thu	1	0.4329608938547486	41.397978	2.180019
1	Sun	4	0.403899721448468	41.397978	2.180019
1	Wed	23	0.388086642599278	41.397978	2.180019
1	Thu	2	0.38341968911917096	41.397978	2.180019
1	Tue	0	0.3743016759776536	41.397978	2.180019
1	Wed	22	0.37122557726465366	41.397978	2.180019
1	Mon	1	0.3659217877094972	41.397978	2.180019
1	Wed	0	0.34108527131782945	41.397978	2.180019
1	Mon	0	0.3380281690140845	41.397978	2.180019
1	Tue	1	0.3352272727272727	41.397978	2.180019
1	Fri	0	0.3307291666666667	41.397978	2.180019
1	Sun	3	0.32590529247910865	41.397978	2.180019
1	Fri	1	0.3191489361702128	41.397978	2.180019
1	Thu	3	0.31733333333333336	41.397978	2.180019
2	Mon	1	0.31564245810055863	41.394381	2.176414
1	Sun	7	0.30560578661844484	41.397978	2.180019
